ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
572,Kalmunai,LK,75.52,clear sky,7.4167,81.8167,Saji new food
577,Morondava,MG,77.49,clear sky,-20.2833,44.2833,Hotel Sharon Menabe
581,San Isidro,PE,75.02,broken clouds,-12.1167,-77.05,Soul Mate
582,Ambilobe,MG,73.49,light rain,-13.2,49.05,Hôtel National
594,Sao Filipe,CV,71.01,broken clouds,14.8961,-24.4956,Bela Vista
596,Sao Felix Do Xingu,BR,71.4,overcast clouds,-6.6447,-51.995,Hotel Terraço
605,Ballina,AU,72.01,few clouds,-28.8667,153.5667,Ballina Beach Resort
610,Ambanja,MG,73.63,light rain,-13.6833,48.45,Hôtel Salama Rose
614,Sinnamary,GF,76.15,broken clouds,5.3833,-52.95,Hôtel du fleuve
619,Puerto Asis,CO,73.94,clear sky,0.5133,-76.5007,Pakarii
620,Phanat Nikhom,TH,76.51,clear sky,13.4458,101.1844,ประภาวัลย์ อพาร์ตเมนต์
627,Eyl,SO,70.56,scattered clouds,7.9803,49.8164,فندق ايل دابي
628,Grand Gaube,MU,77.4,clear sky,-20.0064,57.6608,Coco Villa
631,Satipo,PE,72.45,scattered clouds,-11.2522,-74.6386,Hospedaje Henrys
632,Launceston,AU,73.04,moderate rain,-41.45,147.1667,Hotel Charles
635,Ampanihy,MG,73.53,clear sky,-24.7,44.75,Hotel restaurant Angora
642,Ponta Pora,BR,77.92,light rain,-22.5361,-55.7256,Hotel de Trânsito e Oficiais
644,Denpasar,ID,78.46,broken clouds,-8.65,115.2167,Hotel Candra Adiguna
648,Bandundu,CD,72.73,light rain,-3.3167,17.3667,Majestik Hotel
649,Inirida,CO,77.65,overcast clouds,3.8653,-67.9239,Residencias El Turista del Guainia
654,Port Shepstone,ZA,70.34,clear sky,-30.7414,30.455,The Spot Backpackers'
661,Tutoia,BR,79.56,moderate rain,-2.7619,-42.2744,Pousada San Vicente
663,Pangai,TO,78.91,light intensity shower rain,-19.8,-174.35,Billy's Place
665,Sechura,PE,71.56,broken clouds,-5.5569,-80.8222,Hospedaje Claritza
667,Maragogi,BR,77.41,clear sky,-9.0122,-35.2225,Pousada Mariluz
668,Richards Bay,ZA,71.87,broken clouds,-28.783,32.0377,Protea Hotel
671,Melur,IN,71.92,broken clouds,10.05,78.3333,Temple City Gateway
677,Paramonga,PE,70.29,overcast clouds,-10.6667,-77.8333,Hotel Rico
